Glossar,Review,Mindmap,Präsentation,Projekt,Punkte,Klausur,Gesamt
1,1,1.3,1.3,1.2,76.14,2.3,1.74
1,1,1,1,1,83.31,2,1.5
1,1,1.3,1,1.1,71.64,2.7,1.88
2,1,1.3,1.7,1.5,53.5,4,2.77
1.7,1,1.3,1.7,1.5,0,5,3.24
1.7,1,1.3,1.3,1.3,64.18,3.3,2.31
1,1,1.7,1,1.1,78.82,2.3,1.72
1.3,1,1.7,1.5,1.4,0,5,3.2
1,1,1,1,1,62.37,3.3,2.15
1.3,1,1.7,1.5,1.4,69.87,3,2.2
1,1,1.3,1,1.1,67.8,3,2.03
1,1,1.3,1.3,1.2,0,5,3.09
1,1,1.3,1,1.1,74.05,2.7,1.88
1.3,1,1,1,1.1,64.07,3.3,2.18
1.7,1,1.3,1.7,1.5,71.45,2.7,2.09
2,1,1.3,1.7,1.5,0,5,3.27
1,1,1,1,1,62.25,3.3,2.15
1,1,1,1,1,65.64,3,2
1,1,1,1,1,69.02,3,2
1.7,1,1.3,1.3,1.3,65.2,3,2.16
1.3,1,1.7,1.5,1.4,63.83,3.3,2.35
1,1,1.7,1,1.1,73.55,2.7,1.92
1,1,1.7,1,1.1,70.85,2.7,1.92
1.3,1,1.7,1.5,1.4,52.11,4,2.7
1,1,1,1,1,77.33,2.3,1.65
1.3,1,1,1,1.1,68.67,3,2.03
1.7,1,1.3,1.7,1.5,55.77,3.7,2.59
1.3,1,1.7,1.5,1.4,71.2,2.7,2.05
1,1,1,1,1,72.22,2.7,1.85
1.3,1,1,1,1.1,49.49,5,3.03
1,1,1,1,1,58.66,3.7,2.35
1,1,1.3,1.3,1.2,75.29,2.3,1.74
1.3,1,1.7,1.5,1.4,64.38,3.3,2.35
