Glossar,Review,Mindmap,Präs,Projekt,Punkte,Klausur,Gesamt
1,1.7,1.7,1.3,1.4,60.77,3.3,2.35
1,1.7,1.7,1.3,1.4,97.73,1,1.2
1,1.7,1.7,1.3,1.4,40.85,5,3.2
1.7,1.3,1.3,1.7,1.5,32.01,5,3.27
1.7,1.3,1.3,1.7,1.5,38.03,5,3.27
1.7,1.3,1.3,1.7,1.5,34.06,5,3.27
1,1.7,1.3,1.3,1.3,48.47,5,3.16
1,1.7,1.3,1.3,1.3,78.08,2.3,1.81
1,1.7,1.3,1.3,1.3,127.84,1,1.16
1.3,1.7,1.3,1.7,1.5,92.14,1.3,1.42
1.3,1.7,1.3,1.7,1.5,78.9,2.3,1.92
1.3,1.7,1.3,1.7,1.5,82.1,2,1.77
1.3,1,1.7,1.3,1.3,55.03,3.7,2.51
1.3,1,1.7,1.3,1.3,66.7,3,2.16
1.3,1,1.7,1.3,1.3,97.33,1,1.16
1.3,1.3,2,1.7,1.6,27.36,5,3.3
2,1.3,1.7,1.7,1.7,79.7,2.3,1.99
2,1.3,1.7,1.7,1.7,89.33,1.7,1.69
2,1.3,1.7,1.7,1.7,61.09,3.3,2.49
1,1,1.3,1,1.1,100.34,1,1.03
1,1,1.3,1,1.1,101.18,1,1.03
1,1,1.3,1,1.1,75.33,2.3,1.68
1,1,1.3,1,1.1,40.89,5,3.03
2,1.7,2,1.3,1.7,53.86,4,2.83
2,1.7,2,1.3,1.7,46.23,5,3.33
2,1.7,2,1.3,1.7,43.77,5,3.33
1.7,1.3,2,1.3,1.5,56.23,3.7,2.61
1.7,1.3,2,1.3,1.5,56.27,3.7,2.61
1.7,1.3,2,1.3,1.5,60.7,3.3,2.41
